epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.6003,0.8704,2.50927,0.89336,0.24248,0.9525,0.24776,0.18765,0.68587,16.758,0.8502,0.00021671,0.00021671,0.00021671
2,200.858,0.69792,0.54127,0.86077,0.22243,0.94259,0.28561,0.22962,0.61981,7.18197,0.84314,0.000441178,0.000441178,0.000441178
3,325.601,0.69132,0.43417,0.87278,0.00061,0.10274,0.00038,0.00035,0.77837,nan,3.57099,0.000656405,0.000656405,0.000656405
4,454.542,0.70991,0.42877,0.87731,0.001,0.01521,0.00051,0.0004,nan,nan,nan,0.000862389,0.000862389,0.000862389
5,555.416,0.73934,0.44434,0.88323,0.91261,0.72558,0.85296,0.63801,0.80232,1.28579,0.90205,0.00105913,0.00105913,0.00105913
6,671.862,0.71326,0.4085,0.88389,0.50005,0.00823,0.25345,0.2281,1.01663,inf,1.00436,0.00124663,0.00124663,0.00124663
7,756.197,0.72724,0.41056,0.90656,0.59848,0.91343,0.67442,0.52227,0.62586,2.91902,0.86425,0.00142489,0.00142489,0.00142489
8,846.572,0.77101,0.41967,0.88908,0.7035,0.85167,0.75535,0.59544,0.67213,0.79954,0.86874,0.00143595,0.00143595,0.00143595
9,932.406,0.74545,0.41289,0.87769,0.98697,0.94002,0.97398,0.77878,0.64271,0.55496,0.8514,0.00140295,0.00140295,0.00140295
10,1027.79,0.69767,0.40076,0.87706,0.97072,0.96135,0.9825,0.77999,0.60583,0.41285,0.86341,0.00136994,0.00136994,0.00136994
11,1122.21,0.64917,0.36472,0.85345,0.98145,0.95191,0.9783,0.80331,0.62919,0.42393,0.8588,0.00133693,0.00133693,0.00133693
12,1223.9,0.68615,0.37338,0.91374,0.98342,0.96907,0.98435,0.79779,0.6001,0.39839,0.84351,0.00130393,0.00130393,0.00130393
13,1296.55,0.64053,0.34912,0.86875,0.99114,0.97972,0.98444,0.81846,0.57671,0.36495,0.83613,0.00127092,0.00127092,0.00127092
14,1385.18,0.62254,0.33678,0.85815,0.98748,0.95924,0.98356,0.82584,0.56979,0.33167,0.83457,0.00123791,0.00123791,0.00123791
15,1463.78,0.63284,0.34155,0.86738,0.98316,0.94858,0.98069,0.85166,0.54676,0.32663,0.83931,0.00120491,0.00120491,0.00120491
16,1562.54,0.63915,0.34563,0.87118,0.98541,0.97434,0.98537,0.82026,0.58358,0.33953,0.85153,0.0011719,0.0011719,0.0011719
17,1642.18,0.59053,0.32999,0.84947,0.9726,0.9772,0.98699,0.81957,0.58059,0.35423,0.83882,0.00113889,0.00113889,0.00113889
18,1727.68,0.60824,0.33213,0.84986,0.99009,0.97205,0.98739,0.8493,0.50081,0.29106,0.82166,0.00110589,0.00110589,0.00110589
19,1815.34,0.60046,0.31275,0.8518,0.99148,0.97317,0.98747,0.85389,0.53521,0.30183,0.82919,0.00107288,0.00107288,0.00107288
20,1912.59,0.58173,0.31244,0.84887,0.98781,0.97419,0.98621,0.84641,0.52301,0.29894,0.82131,0.00103987,0.00103987,0.00103987
21,1998.4,0.5812,0.31331,0.85283,0.95011,0.97543,0.98528,0.84405,0.5424,0.30634,0.82556,0.00100687,0.00100687,0.00100687
22,2088.79,0.56988,0.30572,0.84062,0.98501,0.97254,0.98924,0.85683,0.53459,0.30249,0.82952,0.000973861,0.000973861,0.000973861
23,2175.28,0.58094,0.31036,0.85276,0.99424,0.97399,0.98471,0.82885,0.53616,0.31473,0.82352,0.000940855,0.000940855,0.000940855
24,2278.25,0.5748,0.3081,0.85056,0.98834,0.98168,0.98821,0.81984,0.61697,0.31094,0.83621,0.000907848,0.000907848,0.000907848
25,2364.01,0.57885,0.31692,0.84399,0.99321,0.97923,0.98799,0.8716,0.48687,0.27963,0.8199,0.000874842,0.000874842,0.000874842
26,2466.34,0.54819,0.29334,0.83995,0.99197,0.98005,0.98845,0.86758,0.48447,0.27057,0.81666,0.000841835,0.000841835,0.000841835
27,2563.63,0.56194,0.29541,0.84826,0.99157,0.98203,0.98837,0.86379,0.49329,0.27872,0.8164,0.000808828,0.000808828,0.000808828
28,2653.28,0.54672,0.29228,0.83776,0.9924,0.9803,0.98794,0.86371,0.50426,0.29096,0.81681,0.000775822,0.000775822,0.000775822
29,2748.39,0.54658,0.29058,0.83926,0.99137,0.96774,0.98611,0.88335,0.45624,0.27382,0.81267,0.000742815,0.000742815,0.000742815
30,2844.89,0.52758,0.28452,0.832,0.99059,0.97968,0.98774,0.88085,0.45821,0.26081,0.81315,0.000709809,0.000709809,0.000709809
31,2934.68,0.51883,0.27544,0.83854,0.98391,0.97834,0.98764,0.87994,0.47701,0.2609,0.81676,0.000676802,0.000676802,0.000676802
32,3010.47,0.54248,0.28343,0.83691,0.98488,0.97972,0.98797,0.87428,0.48981,0.26108,0.81726,0.000643795,0.000643795,0.000643795
33,3106.81,0.51192,0.27922,0.82566,0.98667,0.98085,0.98876,0.87166,0.49643,0.25789,0.81873,0.000610789,0.000610789,0.000610789
34,3180.18,0.53135,0.27215,0.83108,0.99152,0.98341,0.989,0.88139,0.46365,0.2535,0.81417,0.000577782,0.000577782,0.000577782
35,3261.4,0.54076,0.2824,0.83903,0.98625,0.98767,0.98981,0.89287,0.45242,0.2521,0.81135,0.000544776,0.000544776,0.000544776
36,3356.42,0.50202,0.2658,0.83089,0.9859,0.98878,0.99079,0.87848,0.45044,0.24721,0.81265,0.000511769,0.000511769,0.000511769
37,3444.88,0.49652,0.26135,0.82733,0.98757,0.98451,0.9907,0.87494,0.47069,0.24616,0.81569,0.000478762,0.000478762,0.000478762
38,3528.69,0.4948,0.26798,0.83216,0.98735,0.98249,0.98976,0.88302,0.46621,0.25234,0.81728,0.000445756,0.000445756,0.000445756
39,3596.65,0.50857,0.26766,0.83411,0.98633,0.98479,0.98997,0.88892,0.44097,0.24181,0.81497,0.000412749,0.000412749,0.000412749
40,3691.33,0.48623,0.25376,0.82651,0.9882,0.98433,0.98989,0.89345,0.44101,0.23367,0.81413,0.000379743,0.000379743,0.000379743
41,3836.53,0.48182,0.25575,0.81724,0.98631,0.98173,0.98955,0.89247,0.44832,0.24112,0.81527,0.000346736,0.000346736,0.000346736
42,3931.87,0.47644,0.25045,0.81501,0.9871,0.98005,0.98845,0.89232,0.43876,0.23615,0.81285,0.000313729,0.000313729,0.000313729
43,4004.25,0.47703,0.25069,0.82706,0.9891,0.98203,0.98854,0.89209,0.44074,0.23568,0.81243,0.000280723,0.000280723,0.000280723
44,4097.71,0.46387,0.24149,0.81659,0.98562,0.98394,0.98949,0.89796,0.44888,0.23426,0.81057,0.000247716,0.000247716,0.000247716
45,4170.07,0.45865,0.23776,0.80728,0.98607,0.9838,0.98928,0.90022,0.43883,0.23547,0.80952,0.00021471,0.00021471,0.00021471
46,4243.2,0.4678,0.24189,0.82517,0.98687,0.98111,0.98967,0.89899,0.44207,0.23072,0.80999,0.000181703,0.000181703,0.000181703
47,4314.17,0.51642,0.25363,0.84373,0.99024,0.98026,0.98914,0.8954,0.43294,0.23094,0.80985,0.000148696,0.000148696,0.000148696
48,4410.73,0.45876,0.2369,0.82035,0.98862,0.97788,0.9891,0.88503,0.4474,0.22855,0.81354,0.00011569,0.00011569,0.00011569
49,4483.17,0.44197,0.22628,0.82292,0.98899,0.97761,0.98941,0.89496,0.43133,0.22402,0.81237,8.26832e-05,8.26832e-05,8.26832e-05
50,4562.79,0.45783,0.23177,0.82195,0.98554,0.98269,0.98974,0.89792,0.4267,0.21992,0.81178,4.96766e-05,4.96766e-05,4.96766e-05
